,Fragment,Molecular Weight,LogP,Hydrogen Donors,Hydrogen Acceptors,Ro3 Pass,Frequency
f1,[3*]O[3*],15.999,-0.0684,0,1,1,17
f2,[6*]C(=O)O,45.017,0.2137,1,1,1,16
f3,[5*]N[5*],15.015,-0.4954,1,1,1,14
f4,[4*]CC,29.062,0.9739,0,0,1,13
f5,[16*]c1ccccc1,77.106,0.8612,0,0,1,12
f6,[1*]C(=O)[C@@H]([4*])C,56.064,0.42,0,1,1,9
f7,[16*]c1ccc([16*])cc1,76.098,0.0358,0,0,1,9
f8,[8*]C[8*],14.027,0.4608,0,0,1,9
f9,[1*]C(=O)[C@@H]([4*])CC[8*],69.083,0.7578,0,1,1,9
f10,[16*]c1ccccc1[16*],76.098,0.0358,0,0,1,8
f11,[14*]c1nnn[nH]1,69.047,-1.6257,1,3,1,5
f12,[5*]N1CCC[C@H]1[13*],69.107,0.4219,0,1,1,4
f13,[1*]C([6*])=O,28.01,0.205,0,1,1,4
f14,[4*]C[8*],14.027,0.4608,0,0,1,4
f15,[8*]CCC,43.089,1.364,0,0,1,3
f16,[3*]OC,31.034,0.0971,0,1,1,3
f17,[4*][C@@H](CC[8*])C(=O)O,86.09,0.7665,1,1,1,2
f18,[7*]C[8*],14.027,0.4608,0,0,1,2
f19,[8*]CCCC,57.116,1.7541,0,0,1,2
f20,[10*]N1C(=O)C2(CCCC2)N=C1CCCC,193.27,2.1944,0,2,1,2
f21,[9*]n1c([14*])nc2cccc([16*])c21,115.115,-0.3021,0,2,1,2
f22,[16*]c1ccc([16*])c([16*])c1,75.09,-0.7896,0,0,1,2
f23,[8*]C(C)(C)O,59.088,0.2641,1,1,1,2
f24,[14*]c1oc(=O)oc1C,99.065,-0.28418,0,3,1,2
f25,[9*]n1c([14*])nc([14*])c1[14*],64.047,-2.2807,0,2,1,2
f26,[4*]C([4*])C,28.054,0.8509,0,0,1,1
f27,[14*]c1nn[nH]n1,69.047,-1.6257,1,3,1,1
f28,[15*]C1CCCCC1,83.154,2.2883,0,0,1,1
f29,[1*]C(=O)[C@H](C)CS,103.166,0.6282,1,2,1,1
f30,[4*]C([4*])C(C)C,56.108,1.487,0,0,1,1
f31,[1*]C([1*])=O,28.01,0.205,0,1,1,1
f32,[5*]N1[C@H]2CCC[C@H]2C[C@H]1[13*],109.172,1.2005,0,1,1,1
f33,[1*]C(=O)C[7*],42.037,0.0299,0,1,1,1
f34,[1*]C(=O)CC,57.072,0.4723,0,1,1,1
f35,[5*]N1C[C@H](C2CCCCC2)C[C@H]1[13*],151.253,2.2283,0,1,1,1
f36,[1*]C(=O)C[P@@](=O)(CCCC[8*])O[3*],161.117,1.5691,0,3,1,1
f37,[9*]n1c([14*])nc(Cl)c1[14*],99.5,-0.8019,0,2,1,1
f38,[8*]CO,31.034,-0.5145,1,1,1,1
f39,[15*][C@H]1CCc2ccccc2N(CC(=O)O)C1=O,218.232,1.3882,1,2,1,1
f40,[5*]N1Cc2ccccc2C[C@H]1[13*],131.178,1.3844,0,1,1,1
f41,[16*]c1cc([16*])c([16*])c([16*])c1,74.082,-1.615,0,0,1,1
f42,[12*]S(=O)(=O)c1ccccc1[16*],140.163,0.0992,0,2,1,1
f43,[5*]N1CC2(C[C@H]1[13*])SCCS2,159.279,1.2081,0,3,1,1
f44,[1*]C(=O)[C@@H]([4*])CCCCN,113.16,0.5291,1,2,1,1
f45,[5*]N1[C@H]2CCCC[C@H]2C[C@H]1[13*],123.199,1.5906,0,1,1,1
f46,[14*]c1cccs1,83.135,0.9227,0,1,1,1
f47,[14*]c1noc(=O)[nH]1,85.042,-1.4625,1,3,1,1
f48,[13*][C@@H]1CCCN2CCC[C@H]([15*])C(=O)N12,166.224,0.8328,0,2,1,1
f49,[4*]CC(C)(C)C(N)=O,100.141,0.4655,1,1,1,1
f50,[1*]C(=O)[C@@H](C[C@H](O)[C@@H](N)C[C@H](C[8*])C(C)C)C(C)C,241.375,2.0427,2,3,1,1
f51,[4*]CCC[4*],42.081,1.3117,0,0,1,1
f52,[5*]N1[C@H]2CCCC[C@@H]2C[C@H]1[13*],123.199,1.5906,0,1,1,1
f53,[7*]C(C[8*])C(=O)O,72.063,0.3764,1,1,1,1
f54,[9*]n1c([14*])cnc1[14*],65.055,-1.4553,0,2,1,1
f55,[1*]C(=O)[C@@H]([4*])CCC,84.118,1.2002,0,1,1,1
f56,[10*]N1C(=O)N(C)C[C@H]1[13*],98.105,-0.3065,0,1,1,1
f57,[9*]n1c([14*])nc2c(C)cc([16*])cc21,129.142,0.00632,0,2,1,1
f58,[14*]c1nc2ccccc2n1C,131.158,0.7479,0,2,1,1
f59,[5*]N([5*])[5*],14.007,-0.3187,0,1,1,1
f60,[4*][C@H](C(=O)O)C(C)C,101.125,1.0648,1,1,1,1
f61,[1*]C(=O)CCCC,85.126,1.2525,0,1,1,1
f62,[5*]N1Cc2cc([16*])c([16*])cc2C[C@H]1[13*],129.162,-0.2664,0,1,1,1
f63,[14*]c1noc(C)c1C,96.109,0.46604,0,2,1,1
